author,updated_at,like_count,text,public
@TheYoungTurks,2024-03-01T00:23:19Z,262,we need you to become a member today: https://go.tyt.com/theyoungturksmember,True
@Chulitatr,2024-03-01T21:40:57Z,2,"israel isn't fighting an opponent, natanyahu is bombarding civilians.  nethanyahu must be stopped. i'm strongly opposed to the us support of israel's 75-year occupation and the genocide being committed against palestinians.  nethanyahu is already indicted for fraud; and israeli's are calling for him to resign for the war on gaza and the 75-year occupation of palestine; and for over-hauling their judicial system in which he would remain in power--hundreds of thousands israeli's protested this year.  he should be expelled and charged for war crimes for massacre of civilians.",True
@user-zp1ec3ot7g,2024-03-01T21:40:29Z,3,netanyahu is not a terrorist. hamas had attacked israel to begin with. netanyahu is only defending his country. i can see the hatred that you have against israel. you're no better than hamas.,True
@bouhsounehamza6356,2024-03-01T21:39:55Z,3,idf is terrorists occupiers point.,True
@DavidMorrill,2024-03-01T21:39:24Z,3,from the people who said trump would start ww3. your boy biden is a real peace-maker.,True
@user-qv2gx2ye3x,2024-03-01T21:36:21Z,4,"its very overwhelming to see the unconscious support for genocide, it comes to them and our officials so naturally, i just can't even express the disgust i feel.",True
@damon-nomad,2024-03-01T21:33:33Z,5,"9:00 25,000 women and children?  no men or hamas fighters in that number?",True
@kitosio,2024-03-01T21:31:16Z,4,"due to this darkness of killing innocent human being, could israel state exist?",True
@rdca8236,2024-03-01T21:31:13Z,2,cenk and his screaming makes me wonder how he thinks he would make a good president??,True
@salmanazizmohammed6458,2024-03-01T21:30:19Z,4,thank you cenk for telling the world how it is.,True
@curbthepain,2024-03-01T21:30:03Z,2,"man its really disheartening to hear from my coworker ""when will they give up protesting finally"" , ""they've been protesting this war for tens of years now"". all i did was mention arron's sacrifice.",True
@jeffreyjones8531,2024-03-01T21:26:12Z,4,young turds you did not say one word what the palestinians did to israel,True
@brendathrower8843,2024-03-01T21:26:05Z,3,israel forces did not fire on these people.   watch idf footage from the drone.,True
@blackbird4046,2024-03-01T21:25:26Z,2,"_""the uss liberty incident was an attack on a united states navy technical research ship (spy ship), uss liberty, by israeli air force jet fighter aircraft and israeli navy motor torpedo boats, on 8 june 1967, during the six-day war. the combined air and sea attack killed 34 crew members (naval officers, seamen, two marines, and one civilian nsa employee), wounded 171 crew members, and severely damaged the ship. at the time, the ship was in international waters north of the sinai peninsula, about 25.5 nmi (29.3 mi; 47.2 km) northwest from the egyptian city of arish.""_  _""the day israel attacked america""_ -- trt world: https://youtu.be/fgvm2guhr6s",True
@editszilagyi1596,2024-03-01T21:22:57Z,4,``the sickest government of the whole world.``-well said.,True
@pettyboybobs6417,2024-03-01T21:22:09Z,3,"cenk, its horrible what's happening. but where is the anger with hamas?  where is the outrage towards hamas? you can be furious at both, but i only ever hear you screaming about israel. hamas brought this on the palestinian people. one thing i cant stand is a person who's only angered when ""their side"" is harmed...  its not genuine. as far as the whole world ""despising israel"", i think you're dead wrong. the people who cared before this conflict still care and the people who  dont still dont.",True
@MrWrr3rd,2024-03-01T21:19:43Z,4,screaming louder doesn't make things true. cenk sounding like alex jones towards the end there. had to turn it off. not the best way to promote your views. 🫠,True
@naciremavlogs611,2024-03-01T21:18:58Z,2,killing people waiting for food wow this is genocide listen biden time for you to go home this election,True
@johnduff2159,2024-03-01T21:18:53Z,2,liiiiiaars!!!!,True
@richardnyarko9518,2024-03-01T21:18:49Z,2,sister you are right,True
@RobertDovLevin,2024-03-01T21:18:03Z,4,"that is spin. the idf fired on the crowd, because they moved against the israeli troops in a hostile manner. you guys and too many others conveniently omit speaking about hamas committing war crimes against israeli human beings, which has caused the military retaliation that is occurring now. i am jewish and have many muslim friends. that said, i love and support israel, the jewish people and all human beings 💙",True
@deedahazin599,2024-03-01T21:17:24Z,2,new age nazi's,True
@patrickcorbett879,2024-03-01T21:16:39Z,2,this news channel is complete bullshit,True
@rockybalboa-xl4cr,2024-03-01T21:16:17Z,4,free palestine 🇵🇸,True
@YourRealDaddy,2024-03-01T21:14:32Z,2,just a reminder: eylon levy (israeli spokesperson) said the gazans would not starve or lose their healthcare infrastructure back in november.,True
@AA-SOM,2024-03-01T21:14:20Z,2,"are you kidding me! israeli statement says, “looting truck.” these are humanitarian aid trucks for people starving for 2 months!! israelis would understand if they only had a shred of humanity in them!!!",True
@tyramos80,2024-03-01T21:14:14Z,3,biden is finished! no ceasefire could change anything at this point. hate to say this but get ready for 4 more years of trumpster dumpster‼️,True
@bigjdm5460,2024-03-01T21:14:14Z,2,i dnt get how u get out of nazi germany than the offspring justify this after months of murder? goofy,True
@FDR_progressive_liberal,2024-03-01T21:14:06Z,2,the descendants of the victims of the concentration camps learned well from the nazis.,True
@MartialJustice,2024-03-01T21:13:04Z,2,this is complete bullshit. you need to remove your lies. the troops fired in the air. the truck drivers were palestinians.,True
@musakoroma6966,2024-03-01T21:12:34Z,4,idf are not soldiers they are topnotch terrorists supported by the us. they are designated license killers protected and funded by the us.,True
@thehusmenaga,2024-03-01T21:11:47Z,2,idf are just a group of coward terrorists,True
@asahisagoiboi3517,2024-03-01T21:10:17Z,2,cenk will have a blood clot soon hopefully.,True
@PinstripePride85,2024-03-01T21:09:17Z,2,making a youtube channel to cry about it is really helping 😂,True
@chrisperez3614,2024-03-01T21:08:12Z,4,israel is just pure evil,True
@migrant_x,2024-03-01T21:05:24Z,6,"right-wing zionists are going nuts in the comments, trying everything they can to spread their hate against muslims... when the end justifies the means...",True
@terrencemcginnis7221,2024-03-01T21:04:19Z,3,"why does america continue to support mass murder of innocent civilians??? in my mind israel is no better than germany was back in the days of darkness. both leaders show the same utter disregard for innocent human life to the point where it seems more like absolute distain for humanity. netanyahu should grow one of those funny little mustaches so he'll look more like his roll model. how damn disgusting to see how much power this one deranged little country has at its disposal thanks to the support of the usa. our tax dollars are helping netanyahu commit mass murder every single day in gaza. how big of a blood stain does tens of thousands of bloody deaths of innocent  men, women, and children leave on our legacy as a nation?
 this country used to stand against this kind of butchery, (ironically, it's why israel exists in the first place). now we are complicit in a level of mass murder that amounts to genocide. both netanyahu and biden should be tried in the hague for war crimes against humanity in my opinion. this is disgusting, and it's eroding the loyalty of many americans, consciously, or unconscoiusly.",True
@koetrotsotetsi2598,2024-03-01T21:03:50Z,2,this is sad and painful. i feel for the nation of palestine. may god give them strength to overcome this tragedy,True
@user-bj2gq4pt3j,2024-03-01T21:03:46Z,2,completely and utterly lies and propaganda from this people.  all without base.  hamas propaganda mouthpiece,True
@edgardomartinez8455,2024-03-01T21:03:43Z,4,the so called people of god has done demonic act on hungry palestinians.what's happenning ...fo they rezlly believe that almighty god will tolerate their evil actions.i doubt it.god is god .he will give justice to all his creations and palestinians are also his creation,True
@jasonbrown9027,2024-03-01T21:02:35Z,2,"what an idiot this guy is. this war and what it looks like,you people vote in more democrats and  this will be what the united states will look like soon. so wake up.and stop voting these people  into office",True
@TheHeadOfTheGamePodcast,2024-03-01T21:02:18Z,9,this is the modern day holocaust.,True
@user-xp2id9go2l,2024-03-01T21:00:02Z,4,"lies lies lies from hammas for uber libs that make money from fomenting outrage.   this is fox, tucker, and the worst of the rest.     the guys that ride atop the convoys are hammas, they are armed. they are there to distribute half or less and then take rest  into tunnels to feed hammas and to be sold to black mkt to raise money for more guns and terror.   the idf there that day noticed a terrorist atop a truck shoot towards the crowd to control the crowd. and returned fire to the armed gun men. what insued is aggravated pandemonium that led the drivers to freak.   as we dont charge cops or first responders that kill the wrong people in simular situations, and we withold opinions until investigations, tyt, as if  feeding in on jew hate raises the pitch the volume all while knowing they are not doing due diligence, not truly fact checking as their are plenty of ""facts""  on the ground created by jew haters for jew haters.     so cenk i love your performances so passionate you could  personally win against evil benjamin  or evil jews yada, with another burning man extravaganza. i'll even bring the bbq!  m n for hire  at g mail.    please people, look for the truth, or reach out with hard evidence to me and i will apologize to my end if need be.",True
@johnyoung5392,2024-03-01T20:59:38Z,2,thank you turks for supporting biden.,True
@504forlife,2024-03-01T20:58:53Z,10,all israel is doing is creating future enemies all over the world. i don't see why the israelis citizens are not thinking about this.,True
@nicholasalexander434,2024-03-01T20:58:15Z,3,can you imagine yourself lying about an upcoming ceasefire while casually eating an ice cream? i saw biden eating ice cream and it made me choke up think of the palestinian children killed in gaza.  😥🍦,True
@alialhwarat9669,2024-03-01T20:55:54Z,5,anyone calling himself human must do something for palestinians is awful how the nazie zio do,True
@MTAutoVideos,2024-03-01T20:54:04Z,5,bad reporting,True
@t.robertjohnson7274,2024-03-01T20:53:53Z,2,“rat-ta-tat-tat little kids!” - ben netty,True
@milkesnowboards,2024-03-01T20:52:49Z,8,it was set up by israel. western governments must act. war crimes,True
@susana.6578,2024-03-01T20:50:13Z,8,"thank you cenk , wish you can run for president ! and make this world  peaceful! and give back the palestinians land",True
@mohammadreza9172,2024-03-01T20:49:58Z,9,pay attention please. what you are seeing in gaza right now is a live death camp that is made by israel. as much as these scenes are horrific these are supported by the west countries specially by usa and more specially by joe biden who love his ice creams more than children in gaza. that is sad but true.,True
@l.a7183,2024-03-01T20:49:55Z,5,im mexican american hate seeing genocide 😢😭 innocent palestinians getting killed 😡🤬,True
@tbond61,2024-03-01T20:49:39Z,15,this war has shown the true evil face of israel apartheid regime,True
@tioo5265,2024-03-01T20:49:32Z,2,allegedly!  this is more accurate.   t),True
@nataliacerrone9120,2024-03-01T20:49:11Z,2,first of all most are them have knife wounds. hamas are amongst their civilians and that’s their fault. crying while still holding hostages and throw rockets,True
@BLUe-dw6ic,2024-03-01T20:49:05Z,4,"and these acts are being defended and applauded by the us population and the us mainstream media. the us has not only hit a new low for itself, but for humanity just for the unhinged and rabid support. not to mention israel. there is no coming back from this. israelis will never stop themselves via any sense of human decency or morality. that's long gone. they must be stopped.",True
@zendahodi558,2024-03-01T20:48:36Z,4,"it is too bad that the super power who is supplying arms to continue the gaza genocide is using food, water and medicines supply to these unfortunate people is a bargaining cheap for the cease fire, rather than stopping the weapon supply to israel. sent from my iphone",True
@GabrielBedell,2024-03-01T20:48:10Z,5,hamas said that they would repeat oct 7.,True
@christinescantlebury5455,2024-03-01T20:47:49Z,7,who are the terrorists now israel,True
@jayyearwood4587,2024-03-01T20:44:22Z,5,i believe it's past time for biden to call israel out for it's actions.,True
@Gregorypeckory,2024-03-01T20:44:18Z,6,"the monstrous israelis tell on themselves in a million different ways but one more that just popped out at me is the israeli government spokes monsters use of the word, ""looted"", as if the people they intentionally are starving to death can legitimately be called thieves just for trying to feed themselves before they die of starvation.",True
@victorkuruk238,2024-03-01T20:43:36Z,6,i’m glad someone is saying something about this,True
@vbbb808,2024-03-01T20:43:30Z,9,israel has the right to defend itself,True
@GuidancetoIslam.,2024-03-01T20:40:41Z,13,"‼️israel does not have the right to exist let alone has the right to defend itself‼️we will never forget this genocide against our brothers and sisters! history is being written and the world and the future generations will remember the biggest terrorist and tyrants of our time biden and netanyahu’s genocide will be forever be remembered..now when one remembers holocaust, they will remember genocide israel has carried out in gaza against palestinians, holocaust will always be overshadowed by this genocide!",True
@dominadorroque9177,2024-03-01T20:39:30Z,5,that aereal video from idf drones..they tried to documents their every move ..it seems that the news media missunderstood..i stand firm on idf side..you people just sitting in your office while watching the video are condemning israel already.. go out there...do the deliveries of humanitarian  relief goods..oh what are you professional people..also educate those palestinian mob..the idf was just doing their job to protect the goods..if they feel threat inside a territory of mobs..,True
@loisfitch1486,2024-03-01T20:38:40Z,3,has this tragedy been investigated and confirmed that it was definitely israel that fired on the group?,True
@lillianlin8154,2024-03-01T20:38:38Z,2,"eye witnesses, war crime, so easily to say things without have further check, idiots!",True
@user-gl2ke9ip5z,2024-03-01T20:37:48Z,6,"damn biden, he acts like these facts do not exist",True
@healthyself7941,2024-03-01T20:37:25Z,13,"israel is selfish, self centered, greedy, inhumane; and its actions against palestinains are unimaginablly brutal and cruel.",True
@dreewhispers9408,2024-03-01T20:35:42Z,20,the animals are the ones who still act as if this is not a clear genocide.,True
@buthainaf,2024-03-01T20:35:37Z,8,"thank you so much for your passion and say it like it is. "" israel is demonstrating the value of the ku-klux-klan"" ambassador freeman",True
@edwarddreier2958,2024-03-01T20:34:28Z,11,starting to seem like the idf was bored and wanted to use the aid as bait to shoot “fish in a barrel”,True
@cdelane3335,2024-03-01T20:33:27Z,3,"talk about misinformation, this is definitely misinformation. there where 3 separate situations, but the one where the idf opened fire is when they where charged at by a crowd they repeatedly warned. then hamas opened fire on their on people when they tried swarming aid trucks that hamas was stealing from. plus, some of the truck drivers of the aid trucks got scared and ran over several people. if you are gonna tell the story, tell the whole truth.",True
@yankubateveztevezjallow5784,2024-03-01T20:32:24Z,2,because the difference color 😢😢😢😢😢😢😢,True
@royrajan94,2024-03-01T20:32:11Z,4,"god bless you guys for having the courage to tell it like it is. what the israeli government is displaying to the whole world is its hatred for the whole of humanity. what you feel and express about this insane horror, is felt throughout the rest of the world. zionism represents a nightmare for the whole of humanity to deal with.",True
@justinwestmoreland3020,2024-03-01T20:31:45Z,6,this is hamas propaganda,True
@ericswild,2024-03-01T20:30:46Z,6,"576,000 are starving, millions displaced, the place is decimated. at what point do the jewish people tell their government to stop? an eye for an eye?  honestly? this is now what 20 to 1 murders??? enough already stop!!",True
@kenisme1000,2024-03-01T20:30:25Z,5,this is going to lose biden the election…,True
@superwout,2024-03-01T20:30:00Z,3,for the past years hamas has ruled gaza. what have they accomplished?,True
@mannyafcarsensl-rc6vv,2024-03-01T20:29:38Z,2,why doesnt hamas billionaire leaders feed their own people ?,True
@heatherroque1499,2024-03-01T20:27:22Z,6,young turks buying into hamas propaganda again. 1 truck? bullshit!,True
@jhkjr2935,2024-03-01T20:26:40Z,6,"so do i see something that i refuse to see to want to see? the israelis want to punish the world for crimes that were committed against them. israel is being exposed for their mistreatment of its citizens. they have been hiding this fact for years. america should cut off funding to this country,",True
@UrbanOspreys,2024-03-01T20:26:39Z,4,"the unsustainable israel experiment is over. apart from being openly sadistic and breaking international laws routinely, it is dividing politics in every nation.",True
@marianapostol6914,2024-03-01T20:26:22Z,3,"cenk has only 2 neurons. the first one keeps cenk functioning before he gets stupid and angry , the second one keeps him running while he shouts like a madman.",True
@Whyisthehandlenotabailable,2024-03-01T20:23:56Z,8,"now i know that terrorist label is a joke. if you don’t use it to label idf,  something is wrong with you.",True
@saphire82,2024-03-01T20:23:37Z,4,"imagine what the world felt against the germans when they find out what they did to innocent people during the war. take this times whatever number it is when people have a literal view into a war zone on a daily basis for five months and imagine that everybody didn’t just hear about it in the news with some articles and pictures that slowly rolled out, but they watched it pretty much live. germans they are still to this day showing remorse for what happened. i think i don’t see remorse from anyone in israel. imagine the germans don’t show remorse for the holocaust. this whole shithole of a period in humanity has given me a lot to ponder.",True
@sirpugsolot1215,2024-03-01T20:23:23Z,10,to those that thinks cenk's reaction to what's happening is over the top let me remind you as a human with a functional moral compass this is the only valid reaction to what's going on.,True
@joule23,2024-03-01T20:22:38Z,2,"i have lost my faith in joe, but i do not want to vote for donald.",True
@christopherhill7843,2024-03-01T20:21:23Z,2,"well, that’s not cool. the  israelis are making it harder and harder to support their fight. you can’t just kill innocent people.",True
@logiclemonade,2024-03-01T20:21:06Z,7,i go to bed thinking this can't be any worse.... then i wake up to find out it's even worse,True
@snoopcelev1590,2024-03-01T20:20:47Z,2,how come people don't hate russians only russia?,True
@Sandman6616,2024-03-01T20:20:19Z,7,if your hart doesn't break on this madness then you don't have one. yes you are absolutely right... young turk,True
@rayjoe1744,2024-03-01T20:18:55Z,2,aaron bushnell you will forever be a testimony for the coward muslim leaders for the silence of the imames and those brainless muslims who look away,True
@user-yr7vx4jc6b,2024-03-01T20:18:35Z,4,"free palestine , love you man , good luck",True
@dominicmesserly7489,2024-03-01T20:18:35Z,2,"""""thou shalt not kill"" - god.  ""do unto others what you would have done to yourself""/""turn the other cheek"" - jesus.",True
@valeriemahnic825,2024-03-01T20:17:03Z,7,there are too many leaders that love killing people for power and greed!  i feel your anger anna!   this has to stop 😢😢😢😢,True
@thomasmclean1361,2024-03-01T20:16:36Z,10,the world knows the idf is a terror organisation and isreal is a terror state zionism is racism boycott isreal from all international sports around the world 🌎 humans eyes will never be closed we are all palastine,True
@patriciaquinn2920,2024-03-01T20:15:18Z,10,thank you cenk. this is the only way to report on gaza— thank you for expressing my fury and disgust.,True
@arielyitzhakherman1377,2024-03-01T20:14:16Z,3,but did you investigate what really happened? no.,True
@shalomcontemplation8597,2024-03-01T20:13:24Z,16,israel should be ashamed of themselves for all these people who were just hungry and looking for food. 😢,True
@theomoller6637,2024-03-01T20:12:56Z,3,murdering people..........who started the murdering........hamas started it. these 2 are jokers,True
@aydinbingol5012,2024-03-01T20:10:43Z,7,free palestine 🇵🇸🇵🇸❤️❤️🦾🦾,True
@neatwheat,2024-03-01T20:09:57Z,2,what a chaos! hamas is being busy shooting rockets at civilians in israel instead of organising food distribution? who's responsible here? 😲 (i don't see anyone firing in that footage. why not show the actual incriminatory incident?),True
@talksmoke1190,2024-03-01T20:09:05Z,5,"cenk is a joke, he doesn't even know what happened yet full of bombast",True
@halukkilic3171,2024-03-01T20:08:49Z,4,cenk for president ✌,True
@josejosejose3092,2024-03-01T20:08:24Z,10,i'm a trump supporter and i don't usually agree with you on almost everything but you are 100% correct on this one. the israeli government is now behaving like a terrorist organization. and joe biden is silent.,True
@charmainemoodley2414,2024-03-01T20:07:14Z,3,why is the icj still discussing rather than making immediate solutions to the safety of the people. blame the icj- they are procrastinating,True
@mrcomenttoe2009,2024-03-01T20:07:05Z,2,there was a stampede and when the trucks drove off because of the radicals they ran them over don't blame everything on israel when they're the only ones that try to help your ironic,True
@fatma3238,2024-03-01T20:05:52Z,11,idf are animals for sure,True
@TimothyI543,2024-03-01T20:05:50Z,8,"zionist bots all over 😂😂😂😂 same tenses, same typos. good work tyt",True
@mazkaibil9108,2024-03-01T20:03:31Z,8,tyt = hamas,True
@JENNIFERLE2012,2024-03-01T20:01:07Z,4,the united states need to stay out of this war. it is getting way out of control and nothing can justify the ongoing killings from both sides. only the innocent suffered.,True
@tomlarpins7889,2024-03-01T20:00:18Z,2,9:40 preach. disgusting “army”,True
@aibekesenov2289,2024-03-01T20:00:09Z,2,sehr gut dargestellt. vielen dank für ihre wert von um volle arbeit. möge alla uns alle rechtleiten.,True
@stjarnan8534,2024-03-01T20:00:09Z,9,absolutely the best chanel always tells the truth about the satanyahu and his terror regime.,True
@kaiscamp7877,2024-03-01T19:59:37Z,4,"all war is ethnic cleansing, and it must be stopped. don't forget the armenian genocide last year that hardly made the news.",True
@ramboman1378,2024-03-01T19:59:06Z,8,stupid tyt. check your facts before you report. you're all fake news,True
@sidneyleejohnson,2024-03-01T19:58:54Z,3,"with all due respect, putin is the worst terrorist in your lifetime. far far far more people have died in ukraine and taken hostage than gaza will ever see. get some perspective! chill. we have to stop putin far more than we have to waste our time and energy ranting about gaza. i'm not excusing the terrorist actions on either side of the gaza conflict, i just think we need to prioritize our allocation of our resources to fight the most substantial risks and threats to the world as we know it.  i love your coverage, but i follow the ukraine/russian conflict daily as well and anytime i see this kind of energy spent fuming about other things  i have to say where are you in getting congress to support aid to ukraine. how many ukrainian children were kidnapped by russia. how much damage has russian done to ukraine? the scale isn't even close to gaza and yet you have the audacity to suggest that the biggest terrorist in your lifetime isn't putin. seriously? to be fair, the cccp spans your ""lifetime"" , its sort of an ongoing terrorist operation that spans decades. there is an online log of how many deaths have occurred at the cccp hands and its not pretty. i think there is a pretty big fight for the biggest terrorist in your lifetime but its hard to pin the cccp actions on a single terrorist. whereas i think its pretty clear that putin's authority is at the fingertips of ukrainian action as well as actions in chechen. between these two fronts, putin's actions make any comparisons to gaza pale in comparison. i get your compassion and willingness to stand up against evil but there is clearly a larger threat. one that has nukes. are the nukes standing in your way of labeling putin a terrorist? recall that the european parliament has already voted russia a terrorist state due to its actions in ukraine. i know you're just mad as hell and its your schtick to say things like he's the biggest x in my lifetime but i really wish you could have taken the millisecond or two to comprehend how many worse terrorists leaders there have been in your lifetime world wide before saying that because it isn't even a close fight.",True
